True Origin,Coordinates
SO16 6YD,"(50.93284145, -1.4341999833333334)"
 SO43 7NG,"(50.87924, -1.58359)"
 SO19 9AN," (50.8969607, -1.3717507)"
 SO19 9AL," (50.8972973, -1.3732663)"
 SO30 3PY," (50.92851, -1.3273)"
 BH25 5JP," (50.75660618333333, -1.65711725)"
 SO16 4AH," (50.921408, -1.456016)"
 SO16 2JA," (50.939796975, -1.378317425)"
 SO18 3RA," (50.93276923333333, -1.3526545)"
 SO51 8EN," (50.9891, -1.5019)"
 SO32 2UG," (50.91436, -1.27513)"
 SO42 7RY," (50.815021, -1.5775899)"
 SO16 4NZ," (50.921804785714286, -1.4458946142857143)"
 SO31 8ES," (50.88969, -1.3168)"
 SO30 4FQ," (50.91434616969697, -1.2994327727272728)"
 SO18 5TS," (50.91475963333333, -1.3325427)"
 SO41 0PG," (50.72355273333333, -1.590056)"
 SO40 8WU," (50.91677125, -1.5136429)"
 SO15 5AL," (50.91938506111111, -1.4197324888888887)"
 SO14 1LT," (50.90575, -1.39748)"
 SO40 3PY," (50.91945085, -1.4900608666666666)"
 SO17 1BJ," (50.93474727777778, -1.3974553111111112)"
 SO16 4XE," (50.92493455, -1.44725945)"
 BH24 1SD," (50.8540599, -1.77101)"
 SO15 2HQ," (50.91513431, -1.40659356)"
 SO45 6AW," (50.87001, -1.40338)"
 SO18 6TG," (50.91686465, -1.3591499333333334)"
 SO16 5ST," (50.94042605, -1.4275913)"
 SO14 6UX," (50.921839725, -1.3999189)"
 SO51 8ED," (50.990175428571426, -1.4936305714285714)"
 SO15 3FH," (50.91339156666667, -1.4217064666666666)"
 BH25 7EN," (50.7457839, -1.6611246)"
 SO41 8QD," (50.7691, -1.54548)"
 SO45 1XA," (50.81913955, -1.37441075)"
 SO31 4NQ," (50.8760314, -1.327181)"
 SO16 3BD," (50.9387989, -1.3872986)"
 SO41 9ND," (50.7574886, -1.5460046)"
 SP6 1RS," (50.9281578, -1.7935459)"
 SO45 4JA," (50.85183, -1.41618)"
 SO15 5DD," (50.915906, -1.4157423533333333)"
 SO16 8HY," (50.9409691, -1.4491568400000001)"
 SO43 7EW," (50.87227, -1.57661)"
 SO40 4UZ," (50.89112, -1.44963)"
 SO17 1PJ," (50.9311194, -1.402602225)"
 SO14 0YG," (50.912545, -1.3968649166666667)"
 SO52 9EP," (50.975029533333334, -1.4362009333333334)"
 SO50 9AG," (50.97096, -1.35318)"
 SO19 4AA," (50.9136291, -1.3652648)"
 SO15 5RP," (50.9209476, -1.4301656)"
 SO15 3UA," (50.91692, -1.42907)"
 SO19 9RL," (50.89783, -1.37279)"
 SO19 6DJ," (50.90750577777778, -1.341769488888889)"
 SO51 7QN," (50.9922159, -1.4858795)"
 SO15 5SY," (50.9242617, -1.4325124)"
 SO45 4ZD," (50.85877, -1.40256)"
 SO41 9GJ," (50.76005, -1.54729)"
 BH24 1JY," (50.84613, -1.78949)"
 BH25 6EN," (50.7547799, -1.6549799)"
 SO41 6BA," (50.78488235, -1.6090418)"
 SO19 9GH," (50.8884728, -1.3701911166666667)"
 SO40 3ZN," (50.920518, -1.4888342)"
 SO18 1HZ," (50.923854264285715, -1.3719227)"
 SO53 2ZH," (50.9852474, -1.3852642)"
 SO50 8AU," (50.96488, -1.31032)"
 SO17 2GD," (50.92369660322581, -1.3898371741935485)"
 SO45 5WX," (50.8584904, -1.4046704)"
 SO32 1GR," (50.95523746666667, -1.2124543)"
 SO18 2PA," (50.92841458125, -1.365582334375)"
 SO50 4QP," (50.97777002857143, -1.3600127857142856)"
 SO23 8AD," (51.0625351, -1.3104158)"
 SO21 1QY," (51.01917, -1.3142)"
 SO53 4ST," (50.9782252, -1.40120875)"
 SO22 6EL," (51.0742963, -1.3369198)"
 SO41 3RA," (50.75711012, -1.5449849800000002)"
 SO53 2LH," (50.98692980714286, -1.3723948142857143)"
 SO18 6BT," (50.91556, -1.3546)"
 BH23 8AD," (50.78131, -1.73774)"
