Time of Specimen,Time of Receipt,TRUE ORIGIN
11:21:48,14:27:15,SO41 8QD
11:21:48,14:27:15,SO41 8QD
11:21:48,14:27:15,SO41 8QD
11:21:48,14:27:15,SO41 8QD
11:21:48,14:27:15,SO41 8QD
11:21:48,14:27:15,SO41 8QD
11:21:48,14:27:15,SO41 8QD
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
11:44:05,15:01:32,SO51 8EN
